Bomb Blasts Occurred,Building condition satisfactory,Color By Measure Value,Analysis Level Selector,Complete Primary Schools,Drinking water,Education score
16,26.455026,93.059524,AJK,158,19.895288,79.859541
16,23.320158,88.74792,AJK,449,14.511873,83.031147
16,36.253041,96.259411,AJK,255,34.931507,80.346162
16,42.277691,89.735252,AJK,603,27.925117,73.091068
16,34.246575,90.062588,AJK,160,27.64977,74.11001
16,25.800712,95.665526,AJK,476,12.099644,74.424026
16,16.901408,98.07263,AJK,251,4.225352,78.281989
16,4.225352,54.654143,Balochistan,52,21.658986,40.221263
16,39.534884,49.069544,Balochistan,0,17.05151,32.481119
16,48.235294,61.208596,Balochistan,73,34.2723,41.104554
16,6.360424,53.876301,Balochistan,180,15.646259,30.360035
16,7.853403,81.09616,Balochistan,53,58.525346,68.278043
16,41.007194,63.503893,Balochistan,41,28.767123,36.568909
16,34.949495,53.853001,Balochistan,71,27.565392,45.833841
16,3.265306,50.937914,Balochistan,48,22.267206,49.123752
16,5.614973,58.888003,Balochistan,88,19.43734,39.118897
16,10.687023,62.976088,Balochistan,91,36.090226,43.762312
16,5.070994,85.690108,Balochistan,225,38.582677,52.982453
16,6.111111,70.837471,Balochistan,10,34.972678,53.481092
16,12.254902,65.914982,Balochistan,203,30.586371,50.439734
16,21.882353,51.161826,Balochistan,85,57.990868,32.071744
16,9.774436,64.636316,Balochistan,17,26.432532,49.903383
16,36.724566,52.900293,Balochistan,0,25.49505,41.925429
16,15.368421,80.645744,Balochistan,188,32.432432,53.497468
16,20.19544,66.655114,Balochistan,0,40.342679,48.877679
16,32.525952,80.716544,Balochistan,119,38.613861,50.481686
16,7.662835,77.956408,Balochistan,0,31.818182,47.423152
16,14.666667,42.518675,Balochistan,0,13.716814,46.060405
16,6.535948,76.405825,Balochistan,87,48.192771,49.299201
16,7.278481,77.750525,Balochistan,190,10.658307,47.06788
16,14.634146,57.492402,Balochistan,120,43.530834,45.08206
16,32.152589,85.680683,Balochistan,293,56.666667,68.093925
16,20.382166,39.933534,Balochistan,2,39.634146,37.37057
16,2.941176,69.960396,Balochistan,76,29.126214,52.797891
16,20.529801,73.385899,Balochistan,27,31.612903,40.447362
16,17.407407,57.016445,Balochistan,45,27.702703,44.480012
16,22.580645,50.241065,Balochistan,39,17.351598,43.627316
16,31.578947,60.315891,FATA,467,28.988327,42.420369
16,39.6875,63.73403,FATA,322,45.299145,57.332458
